Date;gold;silver
2011/08/01;1619.38;39.2975
2011/09/01;1826.1;41.5638
2011/10/01;1658.3;30.41
2011/11/01;1719.55;33.3425
2011/12/01;1744.8;32.7525
2012/01/01;1566.37;27.8625
2012/02/01;1743.53;33.7088
2012/03/01;1718.25;35.485
2012/04/01;1677.75;32.98
2012/05/01;1662.4;30.975
2012/06/01;1624;28.5275
2012/07/01;1597.01;27.4925
2012/08/01;1599.58;27.425
2012/09/01;1692.33;32.115
2012/10/01;1775.43;34.66
2012/11/01;1714.2;32.2575
2012/12/01;1715.96;33.66
2013/01/01;1675.92;30.305
